"id","scrapedAtUtc","source","name","category","rating","reviewCount","priceLevel","status","address","city","region","postalCode","country","phone","website","latitude","longitude","placeUrl","photoCount","photoUrls","localPhotos","error"
"1","2026-04-27T04:13:11.587Z","google_maps_ui","Osteria Elio Volpe","Restaurant","4.5","0","","Open · Closes 10:30 p.m.","540 W 17th Ave, Vancouver, BC V5Z 1T4","","","","","(236) 471-9564","https://www.eliovolpe.com/","0","0","https://www.google.com/maps/place/Osteria+Elio+Volpe/data=!4m7!3m6!1s0x5486735ca45d90d7:0x56306e884e11ed33!8m2!3d49.255852!4d-123.1157579!16s%2Fg%2F11vbqyxx_4!19sChIJ15BdpFxzhlQRM-0RTohuMFY","0","","",""
"2","2026-04-27T04:13:21.541Z","google_maps_ui","Mazahr Lebanese Kitchen","Restaurant","4.8","0","","Closed · Opens 11:30 a.m. Tue","1488 W 11th Ave, Vancouver, BC V6H 1L1","","","","","(604) 733-2211","http://www.mazahr.ca/","0","0","https://www.google.com/maps/place/Mazahr+Lebanese+Kitchen/data=!4m7!3m6!1s0x5486731ca84906bf:0x33e753b8693cebf9!8m2!3d49.2615983!4d-123.1382076!16s%2Fg%2F11j_vglrpb!19sChIJvwZJqBxzhlQR-es8abhT5zM","2","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif | https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbFkJQGo1wklkLTom-idoGJtp_Yuu-W3D_JXNZqXJrYyow8v-MtW1ymqW55MJXSFANINnFYhJGkZEE746LrctGswcLYiseGT1I3Pwmxwr9gyyHscsDp1eQ-1Kqkr3IOrCGsDqGGg=w638-h298-k-no","output/photos/00002-mazahr-lebanese-kitchen/001.jpg | output/photos/00002-mazahr-lebanese-kitchen/002.jpg",""
"3","2026-04-27T04:13:31.545Z","google_maps_ui","Fiore Famiglia","Italian restaurant","4.5","0","","","2603 W 16th Ave, Vancouver, BC V6K 3C2","","","","","(604) 558-2603","http://fiorerestaurants.ca/","0","0","https://www.google.com/maps/place/Fiore+Famiglia/data=!4m7!3m6!1s0x54867385734e2601:0xf96b9dd198cc9608!8m2!3d49.2578279!4d-123.1651315!16s%2Fg%2F11g18_85s2!19sChIJASZOc4VzhlQRCJbMmNGda_k","2","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif | https://gstatic.com/local/placeinfo/lgbtq_friendly_ic_24dp.png","output/photos/00003-fiore-famiglia/001.jpg | output/photos/00003-fiore-famiglia/002.png",""
"4","2026-04-27T04:13:40.716Z","google_maps_ui","Don at Kitsilano","Restaurant","4.6","0","","Open · Closes 11 p.m.","2186 W 4th Ave, Vancouver, BC V6K 1N8","","","","","(604) 566-6366","https://www.eatdon.com/","0","0","https://www.google.com/maps/place/Don+at+Kitsilano/data=!4m7!3m6!1s0x5486732e49dfcefb:0xa363c6c2ba8fe9be!8m2!3d49.2680248!4d-123.1545255!16s%2Fg%2F11pzl7jlb5!19sChIJ-87fSS5zhlQRvumPusLGY6M","1","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif","output/photos/00004-don-at-kitsilano/001.jpg",""
"5","2026-04-27T04:13:50.902Z","google_maps_ui","iDen & Quanjude Beijing Duck House","Chinese restaurant","4.7","0","","","2808 Cambie St., Vancouver, BC V5Z 2V5","","","","","(236) 477-7777","http://www.quanjude1864.com/","0","0","https://www.google.com/maps/place/iDen+%26+Quanjude+Beijing+Duck+House/data=!4m7!3m6!1s0x548673513eaddda1:0xe3dfd1dda3e82009!8m2!3d49.2601245!4d-123.1147588!16s%2Fg%2F11j3rrt94_!19sChIJod2tPlFzhlQRCSDoo93R3-M","3","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif | https://gstatic.com/local/placeinfo/lgbtq_friendly_ic_24dp.png | https://gstatic.com/local/placeinfo/women_led_updated_ic_24dp.png","output/photos/00005-iden-quanjude-beijing-duck-house/001.jpg | output/photos/00005-iden-quanjude-beijing-duck-house/002.png | output/photos/00005-iden-quanjude-beijing-duck-house/003.png",""
"6","2026-04-27T04:13:59.984Z","google_maps_ui","East Is East","Mediterranean restaurant","4.8","0","","Closes soon · 10 p.m. · Opens 11:30 a.m. Mon","3035 W Broadway, Vancouver, BC V6K 2G9","","","","","(604) 734-5881","http://www.eastiseast.ca/","0","0","https://www.google.com/maps/place/East+Is+East/data=!4m7!3m6!1s0x548673aad83fae0f:0x4a9d67cc063f8767!8m2!3d49.2643582!4d-123.1727086!16s%2Fg%2F1tf_skl9!19sChIJD64_2KpzhlQRZ4c_BsxnnUo","1","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif","output/photos/00006-east-is-east/001.jpg",""
"7","2026-04-27T04:14:09.217Z","google_maps_ui","Pho Viet Lotus Restaurant","Vietnamese restaurant","4.8","0","","Closes soon · 10 p.m. · Opens 11 a.m. Mon","2680 W Broadway, Vancouver, BC V6K 2G3","","","","","(604) 558-3999","https://phovietlotus.ca/","0","0","https://www.google.com/maps/place/Pho+Viet+Lotus+Restaurant/data=!4m7!3m6!1s0x54867366200b9a8f:0xb43738c0349e8934!8m2!3d49.2638727!4d-123.1658085!16s%2Fg%2F11ygqw08b0!19sChIJj5oLIGZzhlQRNImeNMA4N7Q","1","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif","output/photos/00007-pho-viet-lotus-restaurant/001.jpg",""
"8","2026-04-27T04:14:18.454Z","google_maps_ui","LE COQ FRIT (VANCOUVER)","Chicken restaurant","4.7","0","","","1888 W Broadway, Vancouver, BC V6J 1Y9","","","","","(604) 568-8776","http://lecoqfrit.ca/","0","0","https://www.google.com/maps/place/LE+COQ+FRIT+%28VANCOUVER%29/data=!4m7!3m6!1s0x54867331874e7e09:0x9745cd9466a1cf98!8m2!3d49.2635643!4d-123.1477581!16s%2Fg%2F11nxcb4btr!19sChIJCX5OhzFzhlQRmM-hZpTNRZc","1","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif","output/photos/00008-le-coq-frit-vancouver/001.jpg",""
"9","2026-04-27T04:14:27.865Z","google_maps_ui","Sip Song Thai Cuisine","Restaurant","4.8","0","","Closed · Opens 5 p.m. Tue","3626 W 16th Ave, Vancouver, BC V6R 3C4","","","","","(778) 302-9898","https://www.sipsongthai.com/","0","0","https://www.google.com/maps/place/Sip+Song+Thai+Cuisine/data=!4m7!3m6!1s0x548673003c21fa25:0x87c6be042c3aa63f!8m2!3d49.2576665!4d-123.1857551!16s%2Fg%2F11vr0gy5gm!19sChIJJfohPABzhlQRP6Y6LAS-xoc","1","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif","output/photos/00009-sip-song-thai-cuisine/001.jpg",""
"10","2026-04-27T04:14:37.958Z","google_maps_ui","Ocean Goose Japanese Restaurant","Restaurant","4.7","0","","","1850 W 4th Ave, Vancouver, BC V6J 1M3","","","","","(604) 229-3673","https://oceangoose.ca/","0","0","https://www.google.com/maps/place/Ocean+Goose+Japanese+Restaurant/data=!4m7!3m6!1s0x548673ab5f1f4707:0x3f2815a3076c5dea!8m2!3d49.2678378!4d-123.1466983!16s%2Fg%2F11y5h_ccrp!19sChIJB0cfX6tzhlQR6l1sB6MVKD8","2","https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif | https://gstatic.com/local/placeinfo/lgbtq_friendly_ic_24dp.png","output/photos/00010-ocean-goose-japanese-restaurant/001.jpg | output/photos/00010-ocean-goose-japanese-restaurant/002.png",""
